Name,Description,Category
Karachi,A major city in Pakistan,Pakistani Cities
Lahore,A major city in Pakistan,Pakistani Cities
Islamabad,The capital city of Pakistan,Pakistani Cities
Rawalpindi,A major city in Pakistan,Pakistani Cities
Faisalabad,A major city in Pakistan,Pakistani Cities
Multan,A major city in Pakistan,Pakistani Cities
Peshawar,A major city in Pakistan,Pakistani Cities
Quetta,A major city in Pakistan,Pakistani Cities
Sialkot,A city in Pakistan,Pakistani Cities
Gujranwala,A city in Pakistan,Pakistani Cities
Hyderabad,A city in Pakistan,Pakistani Cities
Abbottabad,A city in Pakistan,Pakistani Cities
Murree,A hill station in Pakistan,Pakistani Cities
Sukkur,A city in Pakistan,Pakistani Cities
Bahawalpur,A city in Pakistan,Pakistani Cities
Sargodha,A city in Pakistan,Pakistani Cities
Gujarat,A city in Pakistan,Pakistani Cities
Larkana,A city in Pakistan,Pakistani Cities
Sheikhupura,A city in Pakistan,Pakistani Cities
Jhelum,A city in Pakistan,Pakistani Cities
Mardan,A city in Pakistan,Pakistani Cities
Kasur,A city in Pakistan,Pakistani Cities
Rahim Yar Khan,A city in Pakistan,Pakistani Cities
Sahiwal,A city in Pakistan,Pakistani Cities
Okara,A city in Pakistan,Pakistani Cities
Biryani,A traditional rice dish,Traditional Dishes
Pulao,A traditional rice dish,Traditional Dishes
Nihari,A traditional meat stew,Traditional Dishes
Haleem,A traditional meat dish,Traditional Dishes
Karahi,A traditional curry dish,Traditional Dishes
Korma,A traditional curry dish,Traditional Dishes
Sajji,A traditional roasted meat dish,Traditional Dishes
Chapli Kabab,A traditional kebab,Traditional Dishes
Seekh Kabab,A traditional kebab,Traditional Dishes
Paye,A traditional meat dish,Traditional Dishes
Halwa Puri,A traditional breakfast dish,Traditional Dishes
Saag,A traditional vegetable dish,Traditional Dishes
Makki Ki Roti,A traditional flatbread,Traditional Dishes
Daal Chawal,A traditional lentil and rice dish,Traditional Dishes
Aloo Gosht,A traditional potato and meat curry,Traditional Dishes
Koftay,Traditional meatballs,Traditional Dishes
Katakat,A traditional street food,Traditional Dishes
Chargha,A traditional fried chicken dish,Traditional Dishes
Tikka,A traditional grilled meat,Traditional Dishes
Malai Boti,A traditional grilled meat,Traditional Dishes
Reshmi Kabab,A traditional kebab,Traditional Dishes
Gola Kabab,A traditional kebab,Traditional Dishes
Bihari Kabab,A traditional kebab,Traditional Dishes
Kunna,A traditional meat dish,Traditional Dishes
Bong Paye,A traditional meat dish,Traditional Dishes
Salt,A common spice,Spices
Pepper,A common spice,Spices
Turmeric,A yellow spice,Spices
Chili,A hot spice,Spices
Cumin,An aromatic spice,Spices
Coriander,An aromatic spice,Spices
Cardamom,An aromatic spice,Spices
Cinnamon,A sweet spice,Spices
Clove,An aromatic spice,Spices
Nutmeg,An aromatic spice,Spices
Saffron,A precious spice,Spices
Garlic,A pungent spice,Spices
Anise,An aromatic spice,Spices
Fenugreek,A bitter spice,Spices
Mustard Seeds,A pungent spice,Spices
Poppy Seeds,A nutty spice,Spices
Sesame,A nutty spice,Spices
Bay Leaf,An aromatic leaf,Spices
Black Salt,A sulfurous salt,Spices
Chaat Masala,A tangy spice mix,Spices
Garam Masala,A warm spice mix,Spices
Tamarind,A sour spice,Spices
Mint,A fresh herb,Spices
Basil,An aromatic herb,Spices
Mango,A tropical fruit,Fruits
Apple,A common fruit,Fruits
Banana,A tropical fruit,Fruits
Orange,A citrus fruit,Fruits
Grapes,A small fruit,Fruits
Pomegranate,A seeded fruit,Fruits
Guava,A tropical fruit,Fruits
Watermelon,A large fruit,Fruits
Melon,A sweet fruit,Fruits
Apricot,A stone fruit,Fruits
Peach,A stone fruit,Fruits
Plum,A stone fruit,Fruits
Pear,A sweet fruit,Fruits
Strawberry,A red berry,Fruits
Cherry,A small stone fruit,Fruits
Lychee,A tropical fruit,Fruits
Papaya,A tropical fruit,Fruits
Pineapple,A tropical fruit,Fruits
Coconut,A tropical fruit,Fruits
Date,A sweet dried fruit,Fruits
Fig,A sweet fruit,Fruits
Mulberry,A small berry,Fruits
Kinnow,A citrus fruit,Fruits
Falsa,A small berry,Fruits
Jamun,A purple fruit,Fruits
Potato,A root vegetable,Vegetables
Onion,A bulb vegetable,Vegetables
Tomato,A red vegetable,Vegetables
Garlic,A pungent bulb,Vegetables
Spinach,A leafy green,Vegetables
Cauliflower,A cruciferous vegetable,Vegetables
Cabbage,A leafy vegetable,Vegetables
Carrot,A root vegetable,Vegetables
Radish,A root vegetable,Vegetables
Turnip,A root vegetable,Vegetables
Peas,A legume,Vegetables
Okra,A green vegetable,Vegetables
Eggplant,A purple vegetable,Vegetables
Cucumber,A green vegetable,Vegetables
Zucchini,A green vegetable,Vegetables
Pumpkin,A large vegetable,Vegetables
Bitter Gourd,A bitter vegetable,Vegetables
Bottle Gourd,A green vegetable,Vegetables
Capsicum,A bell pepper,Vegetables
Chili,A hot pepper,Vegetables
Coriander,A fresh herb,Vegetables
Lemon,A citrus fruit,Vegetables
Beetroot,A root vegetable,Vegetables
Shalwar,Traditional pants,Clothing
Kameez,Traditional shirt,Clothing
Kurta,Traditional tunic,Clothing
Dupatta,Traditional scarf,Clothing
Sari,Traditional dress,Clothing
Lehnga,Traditional skirt,Clothing
Sherwani,Traditional coat,Clothing
Waistcoat,A sleeveless jacket,Clothing
Turban,Traditional headwear,Clothing
Scarf,A neck accessory,Clothing
Shawl,A warm wrap,Clothing
Ajrak,Traditional printed cloth,Clothing
Topi,Traditional cap,Clothing
Vest,An undergarment,Clothing
Jacket,Outerwear,Clothing
Coat,Warm outerwear,Clothing
Sweater,Warm clothing,Clothing
Socks,Foot covering,Clothing
Gloves,Hand covering,Clothing
Tie,Neck accessory,Clothing
Belt,Waist accessory,Clothing
Trousers,Formal pants,Clothing
Jeans,Casual pants,Clothing
Shirt,Upper garment,Clothing
Frock,A dress,Clothing
Chair,A seating furniture,Furniture
Table,A flat surface furniture,Furniture
Sofa,A comfortable seating,Furniture
Bed,Sleeping furniture,Furniture
Cupboard,Storage furniture,Furniture
Wardrobe,Clothing storage,Furniture
Cabinet,Storage furniture,Furniture
Desk,Work furniture,Furniture
Stool,A simple seat,Furniture
Bench,A long seat,Furniture
Bookshelf,Book storage,Furniture
Dresser,Bedroom furniture,Furniture
Mirror,Reflective surface,Furniture
Lamp,Lighting fixture,Furniture
Rug,Floor covering,Furniture
Carpet,Floor covering,Furniture
Curtain,Window covering,Furniture
Mattress,Bed cushion,Furniture
Pillow,Head support,Furniture
Cushion,Soft padding,Furniture
Blanket,Warm covering,Furniture
Sheet,Bed covering,Furniture
Cot,A small bed,Furniture
Cradle,Baby bed,Furniture
Recliner,Comfortable chair,Furniture
Spoon,Eating utensil,Kitchen Items
Fork,Eating utensil,Kitchen Items
Knife,Cutting tool,Kitchen Items
Plate,Serving dish,Kitchen Items
Bowl,Serving dish,Kitchen Items
Glass,Drinking vessel,Kitchen Items
Cup,Drinking vessel,Kitchen Items
Mug,Drinking vessel,Kitchen Items
Jug,Pouring vessel,Kitchen Items
Teapot,Tea brewing vessel,Kitchen Items
Pan,Cooking vessel,Kitchen Items
Pot,Cooking vessel,Kitchen Items
Cooker,Cooking appliance,Kitchen Items
Tawa,Flat cooking pan,Kitchen Items
Rolling Pin,Dough roller,Kitchen Items
Grater,Shredding tool,Kitchen Items
Peeler,Peeling tool,Kitchen Items
Strainer,Filtering tool,Kitchen Items
Sieve,Filtering tool,Kitchen Items
Tongs,Gripping tool,Kitchen Items
Ladle,Serving spoon,Kitchen Items
Tray,Serving platform,Kitchen Items
Bottle,Storage container,Kitchen Items
Jar,Storage container,Kitchen Items
Container,Storage vessel,Kitchen Items
Lion,A large cat,Animals
Tiger,A striped cat,Animals
Elephant,A large mammal,Animals
Horse,A riding animal,Animals
Dog,A domestic pet,Animals
Cat,A domestic pet,Animals
Cow,A farm animal,Animals
Buffalo,A farm animal,Animals
Goat,A farm animal,Animals
Sheep,A farm animal,Animals
Camel,A desert animal,Animals
Donkey,A working animal,Animals
Monkey,A primate,Animals
Bear,A large mammal,Animals
Deer,A graceful animal,Animals
Rabbit,A small mammal,Animals
Fox,A cunning animal,Animals
Wolf,A wild canine,Animals
Snake,A reptile,Animals
Crocodile,A large reptile,Animals
Turtle,A shelled reptile,Animals
Frog,An amphibian,Animals
Mouse,A small rodent,Animals
Rat,A rodent,Animals
Squirrel,A tree rodent,Animals
Eagle,A bird of prey,Birds
Sparrow,A small bird,Birds
Pigeon,A common bird,Birds
Parrot,A colorful bird,Birds
Crow,A black bird,Birds
Peacock,A beautiful bird,Birds
Hen,A female chicken,Birds
Rooster,A male chicken,Birds
Duck,A water bird,Birds
Swan,A graceful water bird,Birds
Owl,A nocturnal bird,Birds
Hawk,A bird of prey,Birds
Kite,A bird of prey,Birds
Ostrich,A large flightless bird,Birds
Penguin,A flightless water bird,Birds
Flamingo,A pink water bird,Birds
Woodpecker,A tree-dwelling bird,Birds
Kingfisher,A fishing bird,Birds
Dove,A peaceful bird,Birds
Myna,A common bird,Birds
Chakor,A game bird,Birds
Partridge,A game bird,Birds
Cricket,A bat and ball sport,Sports
Hockey,A stick and ball sport,Sports
Football,A team sport,Sports
Tennis,A racket sport,Sports
Squash,A racket sport,Sports
Badminton,A racket sport,Sports
Boxing,A combat sport,Sports
Wrestling,A combat sport,Sports
Kabaddi,A traditional sport,Sports
Polo,A horse sport,Sports
Golf,A club and ball sport,Sports
Swimming,A water sport,Sports
Running,An athletic sport,Sports
Cycling,A bike sport,Sports
Volleyball,A team sport,Sports
Basketball,A team sport,Sports
Snooker,A cue sport,Sports
Table Tennis,A racket sport,Sports
Archery,A target sport,Sports
Shooting,A target sport,Sports
Skiing,A winter sport,Sports
Skating,A gliding sport,Sports
Karate,A martial art,Sports
Judo,A martial art,Sports
Gymnastics,An athletic sport,Sports
Badshahi Mosque,A historic mosque,Historical Places
Minar-e-Pakistan,A national monument,Historical Places
Faisal Mosque,A famous mosque,Historical Places
Lahore Fort,A historic fort,Historical Places
Shalimar Gardens,Historic gardens,Historical Places
Rohtas Fort,A historic fort,Historical Places
Mohenjo-daro,An ancient city,Historical Places
Harappa,An ancient city,Historical Places
Taxila,An ancient city,Historical Places
Hiran Minar,A historic monument,Historical Places
Katas Raj,A historic temple complex,Historical Places
Derawar Fort,A desert fort,Historical Places
Ranikot Fort,A large fort,Historical Places
Baltit Fort,A mountain fort,Historical Places
Altit Fort,A mountain fort,Historical Places
Noor Mahal,A historic palace,Historical Places
Wazir Khan Mosque,A historic mosque,Historical Places
Tomb of Jahangir,A historic tomb,Historical Places
Tomb of Jinnah,A national monument,Historical Places
Ziarat Residency,A historic building,Historical Places
Khyber Pass,A historic mountain pass,Historical Places
Clifton Fort,A coastal fort,Historical Places
Frere Hall,A historic building,Historical Places
Mohatta Palace,A historic palace,Historical Places
Shahi Qila,A royal fort,Historical Places
Doctor,A medical professional,Occupations
Teacher,An education professional,Occupations
Pilot,An aviation professional,Occupations
Soldier,A military professional,Occupations
Police,A law enforcement officer,Occupations
Lawyer,A legal professional,Occupations
Judge,A legal authority,Occupations
Chef,A cooking professional,Occupations
Farmer,An agricultural worker,Occupations
Driver,A transportation worker,Occupations
Tailor,A clothing maker,Occupations
Barber,A hair cutting professional,Occupations
Carpenter,A wood worker,Occupations
Plumber,A pipe worker,Occupations
Electrician,An electrical worker,Occupations
Mechanic,A machine worker,Occupations
Painter,An artist or decorator,Occupations
Writer,A content creator,Occupations
Artist,A creative professional,Occupations
Actor,A performance artist,Occupations
Banker,A finance professional,Occupations
Accountant,A finance professional,Occupations
Scientist,A research professional,Occupations
Car,A personal vehicle,Transport
Bus,A public vehicle,Transport
Truck,A cargo vehicle,Transport
Bike,A two-wheeler,Transport
Cycle,A pedal vehicle,Transport
Rickshaw,A three-wheeler,Transport
Chingchi,A local transport,Transport
Train,A rail vehicle,Transport
Airplane,An air vehicle,Transport
Boat,A water vehicle,Transport
Ship,A large water vehicle,Transport
Van,A cargo vehicle,Transport
Taxi,A hired vehicle,Transport
Scooter,A two-wheeler,Transport
Tractor,A farm vehicle,Transport
Trolley,A cargo carrier,Transport
Ambulance,An emergency vehicle,Transport
Fire Truck,An emergency vehicle,Transport
Police Car,A law enforcement vehicle,Transport
Jeep,An off-road vehicle,Transport
Helicopter,An air vehicle,Transport
Rocket,A space vehicle,Transport
Metro Bus,A rapid transit,Transport
Orange Line,A metro train,Transport
Tongas,A horse cart,Transport
Pen,A writing tool,Stationery
Pencil,A writing tool,Stationery
Eraser,A correction tool,Stationery
Sharpener,A pencil tool,Stationery
Ruler,A measuring tool,Stationery
Notebook,A writing book,Stationery
Paper,Writing material,Stationery
Glue,An adhesive,Stationery
Scissors,A cutting tool,Stationery
Marker,A writing tool,Stationery
Highlighter,A marking tool,Stationery
Stapler,A binding tool,Stationery
Pin,A fastening tool,Stationery
Clip,A fastening tool,Stationery
Tape,An adhesive strip,Stationery
Calculator,A computing device,Stationery
Compass,A drawing tool,Stationery
Protractor,A measuring tool,Stationery
File,A storage folder,Stationery
Folder,A storage item,Stationery
Envelope,A letter holder,Stationery
Diary,A personal journal,Stationery
Chart,A visual display,Stationery
Card,A paper item,Stationery
Ink,Writing fluid,Stationery
Red,A primary color,Colors
Blue,A primary color,Colors
Green,A secondary color,Colors
Yellow,A primary color,Colors
Orange,A secondary color,Colors
Purple,A secondary color,Colors
Pink,A light color,Colors
Black,A dark color,Colors
White,A light color,Colors
Grey,A neutral color,Colors
Brown,An earth tone,Colors
Maroon,A dark red,Colors
Turquoise,A blue-green color,Colors
Gold,A metallic color,Colors
Silver,A metallic color,Colors
Beige,A neutral color,Colors
Cream,A light color,Colors
Indigo,A deep blue,Colors
Violet,A purple shade,Colors
Magenta,A pink-purple,Colors
Cyan,A blue-green,Colors
Teal,A blue-green,Colors
Olive,A yellow-green,Colors
Navy,A dark blue,Colors
Peach,A light orange,Colors
Head,Upper body part,Body Parts
Eye,Vision organ,Body Parts
Ear,Hearing organ,Body Parts
Nose,Smelling organ,Body Parts
Mouth,Eating organ,Body Parts
Hand,Upper limb,Body Parts
Foot,Lower limb,Body Parts
Leg,Lower limb,Body Parts
Arm,Upper limb,Body Parts
Finger,Hand part,Body Parts
Thumb,Hand part,Body Parts
Knee,Leg joint,Body Parts
Elbow,Arm joint,Body Parts
Shoulder,Upper body part,Body Parts
Neck,Upper body part,Body Parts
Hair,Head covering,Body Parts
Tooth,Mouth part,Body Parts
Tongue,Mouth part,Body Parts
Lip,Mouth part,Body Parts
Chin,Face part,Body Parts
Cheek,Face part,Body Parts
Forehead,Face part,Body Parts
Stomach,Digestive organ,Body Parts
Back,Rear body part,Body Parts
Chest,Front body part,Body Parts
Ring,A finger ornament,Jewelry
Necklace,A neck ornament,Jewelry
Bangle,A wrist ornament,Jewelry
Earring,An ear ornament,Jewelry
Nose Pin,A nose ornament,Jewelry
Anklet,An ankle ornament,Jewelry
Bracelet,A wrist ornament,Jewelry
Chain,A neck ornament,Jewelry
Locket,A pendant ornament,Jewelry
Tiara,A head ornament,Jewelry
Crown,A royal headpiece,Jewelry
Diamond,A precious gem,Jewelry
Gold,A precious metal,Jewelry
Silver,A precious metal,Jewelry
Pearl,A precious gem,Jewelry
Ruby,A red gem,Jewelry
Emerald,A green gem,Jewelry
Sapphire,A blue gem,Jewelry
Choker,A neck ornament,Jewelry
Jhumka,Traditional earrings,Jewelry
Matha Patti,A forehead ornament,Jewelry
Brooch,A pin ornament,Jewelry
Stud,A small earring,Jewelry
Hoop,A circular earring,Jewelry
Sun,A star,Nature
Moon,Earth's satellite,Nature
Star,A celestial body,Nature
Sky,The atmosphere,Nature
Cloud,Water vapor,Nature
Rain,Precipitation,Nature
Snow,Frozen precipitation,Nature
Wind,Moving air,Nature
Storm,Severe weather,Nature
River,A water body,Nature
Sea,A large water body,Nature
Ocean,A vast water body,Nature
Lake,A water body,Nature
Pond,A small water body,Nature
Mountain,A high landform,Nature
Hill,A raised landform,Nature
Valley,A low landform,Nature
Forest,A wooded area,Nature
Tree,A woody plant,Nature
Flower,A plant bloom,Nature
Grass,A ground cover,Nature
Leaf,A plant part,Nature
Sand,Fine particles,Nature
Rock,A hard mineral,Nature
Stone,A small rock,Nature
TV,A viewing device,Electronics
Radio,An audio device,Electronics
Computer,A computing device,Electronics
Laptop,A portable computer,Electronics
Mobile,A phone device,Electronics
Tablet,A touch device,Electronics
Speaker,An audio device,Electronics
Headphone,An audio device,Electronics
Mouse,A pointing device,Electronics
Keyboard,An input device,Electronics
Printer,An output device,Electronics
Scanner,An input device,Electronics
Fan,A cooling device,Electronics
AC,A cooling device,Electronics
Heater,A warming device,Electronics
Fridge,A cooling appliance,Electronics
Oven,A cooking appliance,Electronics
Microwave,A cooking appliance,Electronics
Iron,A pressing appliance,Electronics
Blender,A mixing appliance,Electronics
Toaster,A cooking appliance,Electronics
Juicer,An extracting appliance,Electronics
Watch,A time device,Electronics
Clock,A time device,Electronics
Hammer,A striking tool,Tools
Nail,A fastening tool,Tools
Screw,A fastening tool,Tools
Screwdriver,A turning tool,Tools
Wrench,A gripping tool,Tools
Plier,A gripping tool,Tools
Saw,A cutting tool,Tools
Drill,A boring tool,Tools
Axe,A chopping tool,Tools
Rake,A gathering tool,Tools
Hoe,A gardening tool,Tools
Ladder,A climbing tool,Tools
Tape Measure,A measuring tool,Tools
Level,A leveling tool,Tools
Chisel,A carving tool,Tools
File,A smoothing tool,Tools
Clamp,A holding tool,Tools
Vice,A holding tool,Tools
Cutter,A cutting tool,Tools
Torch,A lighting tool,Tools
Brush,A cleaning tool,Tools
Cotton,A natural fabric,Fabrics
Silk,A luxurious fabric,Fabrics
Wool,A warm fabric,Fabrics
Lawn,A light fabric,Fabrics
Linen,A natural fabric,Fabrics
Khaddar,A traditional fabric,Fabrics
Velvet,A soft fabric,Fabrics
Chiffon,A sheer fabric,Fabrics
Georgette,A sheer fabric,Fabrics
Denim,A sturdy fabric,Fabrics
Leather,An animal fabric,Fabrics
Polyester,A synthetic fabric,Fabrics
Rayon,A synthetic fabric,Fabrics
Satin,A smooth fabric,Fabrics
Net,A mesh fabric,Fabrics
Banarasi,A traditional fabric,Fabrics
Jamawar,A traditional fabric,Fabrics
Organza,A sheer fabric,Fabrics
Pashmina,A fine fabric,Fabrics
Jute,A natural fiber,Fabrics
Nylon,A synthetic fabric,Fabrics
Spandex,A stretchy fabric,Fabrics
Fleece,A warm fabric,Fabrics
Corduroy,A ribbed fabric,Fabrics
Canvas,A sturdy fabric,Fabrics
Water,A clear beverage,Beverages
Milk,A dairy beverage,Beverages
Tea,A hot beverage,Beverages
Coffee,A hot beverage,Beverages
Juice,A fruit beverage,Beverages
Soda,A carbonated beverage,Beverages
Lassi,A yogurt beverage,Beverages
Shake,A blended beverage,Beverages
Smoothie,A blended beverage,Beverages
Lemonade,A citrus beverage,Beverages
Squash,A fruit concentrate,Beverages
Sherbet,A sweet beverage,Beverages
Rooh Afza,A traditional beverage,Beverages
Kanji,A fermented beverage,Beverages
Sattu,A traditional beverage,Beverages
Buttermilk,A dairy beverage,Beverages
Green Tea,A healthy beverage,Beverages
Kashmiri Chai,A traditional tea,Beverages
Doodh Soda,A milk soda,Beverages
Cold Drink,A chilled beverage,Beverages
Energy Drink,A stimulating beverage,Beverages
Soup,A hot beverage,Beverages
Broth,A liquid food,Beverages
Cider,A fruit beverage,Beverages
Cocoa,A chocolate beverage,Beverages
Gulab Jamun,A sweet dessert,Desserts
Barfi,A milk sweet,Desserts
Jalebi,A fried sweet,Desserts
Laddu,A round sweet,Desserts
Halwa,A sweet dish,Desserts
Kheer,A rice pudding,Desserts
Custard,A creamy dessert,Desserts
Cake,A baked dessert,Desserts
Pastry,A baked dessert,Desserts
Ice Cream,A frozen dessert,Desserts
Chocolate,A sweet treat,Desserts
Cookie,A baked treat,Desserts
Biscuit,A baked treat,Desserts
Brownie,A chocolate dessert,Desserts
Pudding,A creamy dessert,Desserts
Trifle,A layered dessert,Desserts
Falooda,A cold dessert,Desserts
Ras Malai,A milk dessert,Desserts
Cham Cham,A sweet dessert,Desserts
Sohan Halwa,A traditional sweet,Desserts
Patisa,A flaky sweet,Desserts
Kalakand,A milk sweet,Desserts
Zarda,A sweet rice,Desserts
Sheer Khurma,A vermicelli dessert,Desserts
Sawaiyan,A vermicelli dessert,Desserts
Mother,A female parent,Family Relations
Father,A male parent,Family Relations
Brother,A male sibling,Family Relations
Sister,A female sibling,Family Relations
Son,A male child,Family Relations
Daughter,A female child,Family Relations
Grandfather,A male grandparent,Family Relations
Grandmother,A female grandparent,Family Relations
Uncle,A parent's brother,Family Relations
Aunt,A parent's sister,Family Relations
Cousin,A relative,Family Relations
Nephew,A sibling's son,Family Relations
Niece,A sibling's daughter,Family Relations
Husband,A male spouse,Family Relations
Wife,A female spouse,Family Relations
Father-in-law,Spouse's father,Family Relations
Mother-in-law,Spouse's mother,Family Relations
Brother-in-law,Spouse's brother,Family Relations
Sister-in-law,Spouse's sister,Family Relations
Step-mother,Father's wife,Family Relations
Step-father,Mother's husband,Family Relations
Grandson,A child's son,Family Relations
Granddaughter,A child's daughter,Family Relations
Ancestor,A forebear,Family Relations
Relative,A family member,Family Relations
Abu Bakr,First Caliph,Sahaba
Umar,Second Caliph,Sahaba
Uthman,Third Caliph,Sahaba
Ali,Fourth Caliph,Sahaba
Bilal,Muezzin of the Prophet,Sahaba
Khalid,Military commander,Sahaba
Salman,Persian companion,Sahaba
Abu Huraira,Narrator of Hadith,Sahaba
Aisha,Wife of the Prophet,Sahaba
Khadija,First wife of the Prophet,Sahaba
Fatima,Daughter of the Prophet,Sahaba
Hassan,Grandson of the Prophet,Sahaba
Hussain,Grandson of the Prophet,Sahaba
Zaid,Adopted son of the Prophet,Sahaba
Talha,Companion of the Prophet,Sahaba
Zubair,Companion of the Prophet,Sahaba
Saad,Companion of the Prophet,Sahaba
Abdur Rahman,Companion of the Prophet,Sahaba
Anas,Young companion,Sahaba
Abdullah,Son of Umar,Sahaba
Muadh,Scholar companion,Sahaba
Usamah,Young commander,Sahaba
Ammar,Early Muslim,Sahaba
Suhaib,Roman companion,Sahaba
Abu Ubaidah,Trustworthy companion,Sahaba
