Name,Description,Category
NOT LIKELY <---> VERY VERY LIKELY,Make up a title for a movie that is this likely to be the box office smash of the summer,Writing
UNLIKELY <---> VERY VERY LIKELY,Make up a title for a movie that is this likely to have a talking animal in it,Writing
UNLIKELY <---> VERY VERY LIKELY,"Make up a title for a movie that is this likely to include the line, ""We've got company""",Writing
NO DIGNITY <---> DEEPLY RESPECTFUL,Make up a title for a movie that is this respectful to its dignified older star,Writing
NOT SCARY <---> WAY TOO SCARY,Make up a title for a movie that is this scary,Writing
NOT A CLOWN <---> PROFESSIONAL CLOWN,Make up a name for a person that is this likely to be a circus clown,Writing
NOT LIKELY <---> VERY LIKELY,Make up a name that is this likely to be a character in a historical drama,Writing
NOT IN A FRAT <---> FRAT PRESIDENT,Make up a name for a person who is this likely to be in a fraternity,Writing
NOT LIKELY <---> VERY VERY LIKELY,Make up a name that is this likely to be a CEO,Writing
NOT A WEREWOLF <---> WEREWOLF!!!,Make up a name that is this likely to be a werewolf,Writing
NEVER <---> VERY LIKELY,Make up a name that is this likely to get mistaken for Fawad Khan,Writing
BAD MEETING <---> GREAT MEETING,Write the first line of a rishta profile that would result in a first meeting going this well,Writing
NOT COOKIE <---> DEFINITELY COOKIE,Write the first line of an online rishta profile that is this likely to really be Cookie Monster,Writing
REAL PERSON <---> BOT,Write the first line of a rishta profile that is this likely to be a bot,Writing
1 CAT <---> 10 CATS,Write the first line of a rishta profile for someone who has this many cats,Writing
CHEESY <---> VERY POETIC,Write the first line of a rishta profile for someone who is this poetic,Writing
KNEW IT'S A PROFILE <---> THOUGHT IT'S GOOGLE,Write the first line of a rishta profile where it was this likely the person actually thought they were typing something into Google,Writing
NOT A BEAR <---> HUNGRY BEAR!!,Write the first line of a rishta profile for someone who is this likely to secretly be a hungry bear,Writing
NOT LIKELY <---> VERY VERY LIKELY,Write a text message that is this likely to end up quoted in a True Crime podcast,Writing
NOT ANGRY <---> VERY ANGRY,Write a text message that suggests the person who sent it is this likely to be secretly angry at you,Writing
NOT A SCAM <---> TOTAL SCAM,Write a text message that is this likely to be a scam to get your personal info,Writing
"THEY DON'T KNOW <---> LMFAO, THEY KNOW","Write a text message where the sender is this likely to know what ""lmfao"" means",Writing
NOT MURDERED <---> MURDERED!,Write a text message where the sender was this likely to have been murdered mid-message,Writing
NOT BEAUTIFUL <---> VERY BEAUTIFUL,Write a text message that is this beautifully written,Writing
! <---> !!!!!!!!!!,Write a text message that would probably end with this many exclamation marks,Writing
UNEMOTIONAL <---> EXTREMELY EMOTIONAL,Make up a title for a book that is this tear-jerkingly emotional,Writing
10 YEARS OLD <---> 100 YEARS OLD,Make up a title for a book that is read by someone this many years old,Writing
NOT LIKELY <---> VERY LIKELY,Make up a book title that is this likely to be written in blood on the cover,Writing
KINDA INTERESTING <---> VERY BORING,Make up a title for a book that would be probably be this boring,Writing
NOT LIKELY <---> HIT MOVIE,Make up a title for a book that is this likely to be adapted into a hit movie,Writing
NOT CONDESCENDING <---> VERY CONDESCENDING,Write a piece of advice that is this condescending,Writing
