Description,Category
a cat in a wig wearing a bib,Standard Prompts
the crusty edge of the universe,Standard Prompts
shaking a bag of damp fur,Standard Prompts
Dad is a crab,Standard Prompts
boneless chicken say bawk bawk,Standard Prompts
hand soap that smells like childhood,Standard Prompts
the lawyer twins are at it again,Standard Prompts
tiger with a headache,Standard Prompts
cream cheese beard,Standard Prompts
"a very merry birthday to you, santa",Standard Prompts
falling in a bottomless pit,Standard Prompts
a croissant grooving on top of a bagel,Standard Prompts
2 and 1/2 ducks,Standard Prompts
tato chip and dancin crumbs,Standard Prompts
jealousy,Standard Prompts
everybody hurts,Standard Prompts
cramberry sauce all over the yoga studio,Standard Prompts
squish squish squish,Standard Prompts
"jumbled eyes, hardcore thighs",Standard Prompts
brunch is free for rams and their friend,Standard Prompts
no! internal organ in the jelly bean jar,Standard Prompts
uhoh evil turkeys,Standard Prompts
i didn't draw anything,Standard Prompts
spongebub in pants,Standard Prompts
the cat she ate soap,Standard Prompts
praying mantis dance off,Standard Prompts
ironing macaroni,Standard Prompts
empathetic beets,Standard Prompts
lord of the basement disco,Standard Prompts
condensed rollercoaster,Standard Prompts
drumming with breadsticks,Standard Prompts
too loose bathing suit,Standard Prompts
oil spill merman,Standard Prompts
aww bashful demon,Standard Prompts
ballet emergency,Standard Prompts
horse crash :/,Standard Prompts
cheese fondue friday,Standard Prompts
flyign bath mat,Standard Prompts
beef skittles,Standard Prompts
toilet paper in the wind,Standard Prompts
death by stew,Standard Prompts
squid philosophy,Standard Prompts
gimme cheese bangs,Standard Prompts
why is father angry,Standard Prompts
this is how you make fertilizer,Standard Prompts
here come the silly judge,Standard Prompts
bow to clouds,Standard Prompts
plenty of room in the group bed,Standard Prompts
gordon ramsay is enjoying my spaghetti,Standard Prompts
croutons instead of dice,Standard Prompts
prince harry eats a spicy pepper,Standard Prompts
thinking happens in the brain,Standard Prompts
extreme nap time!,Standard Prompts
the hulk reincarnated as a bird,Standard Prompts
i'm haaaaaaatching,Standard Prompts
cupid is down in the dumps,Standard Prompts
a statue with goals,Standard Prompts
two pigeons enjoying their friendship,Standard Prompts
murder in the bee hive,Standard Prompts
"the horse piece from chess, she's mad",Standard Prompts
time machine runs on love,Standard Prompts
turning into a chef. on arbor day,Standard Prompts
bald leprechaun with extra long toe nails,Standard Prompts
smiley face made out of baby rattle snakes,Standard Prompts
i want the cheapest autopsy,Standard Prompts
a mouse with no ears no eyes and no tail,Standard Prompts
everybody loses the marathon,Standard Prompts
4 feathers pierced into one raspberry,Standard Prompts
cherry tomatoes bobbing in hot chocolate,Standard Prompts
a squirt of hot sauce on a leg,Standard Prompts
pure vibes,Standard Prompts
famous robots prepare for a flood,Standard Prompts
swagger,Standard Prompts
a family of bears on moving day,Standard Prompts
the one percent,Standard Prompts
our baseball team celebrates earth day,Standard Prompts
a bird flying on a commercial airline,Standard Prompts
feathered dinosaurs playing polo,Standard Prompts
nobody wants this,Standard Prompts
mission: p.i.g.,Standard Prompts
mortician/magician,Standard Prompts
calendar of sin,Standard Prompts
we are playing a drawing game,Standard Prompts
this is literally us,Standard Prompts
rival chimneysweeps,Standard Prompts
miles of belt,Standard Prompts
haunted overalls with gushy pudding pockets,Standard Prompts
cereal bowl iceberg,Standard Prompts
mustache swarm,Standard Prompts
nose genie,Standard Prompts
toasted emoji,Standard Prompts
instant mohawk,Standard Prompts
shopping cart of the gods,Standard Prompts
oh no i'm dramatically fallllling,Standard Prompts
the strong silent type,Standard Prompts
is the rainbow... following us??,Standard Prompts
inside of a whale's mouth,Standard Prompts
higher learning,Standard Prompts
it is what it is,Standard Prompts
sporks-a-plenty,Standard Prompts
another day of the dropsies!,Standard Prompts
no *you're* out of order,Standard Prompts
i love my jowls,Standard Prompts
elevator is full. full of love <3,Standard Prompts
ants have ruined this wedding,Standard Prompts
don't yank my chain,Standard Prompts
i'm leaving you... on the moon,Standard Prompts
work the runway swamp creature,Standard Prompts
sneezing out magic,Standard Prompts
"""cheers, vampires!""",Standard Prompts
i don't smile in photos,Standard Prompts
snowman parts without the snow,Standard Prompts
periscope with a braided wig,Standard Prompts
burning snow globe,Standard Prompts
major attitude,Standard Prompts
ta-da!!!,Standard Prompts
history repeating,Standard Prompts
i am the anti-croist,Standard Prompts
liddle peedly weedlies,Standard Prompts
eggdog,Standard Prompts
14 dimples when you smile!!,Standard Prompts
flap on flappy flap flap,Standard Prompts
upright base turnt into cake,Standard Prompts
the pig? his name is ol' agreeable,Standard Prompts
trickle down economics ;),Standard Prompts
jean beans: beans stuffed in jeans,Standard Prompts
break glass in case of shrimp,Standard Prompts
blowing up da birthday cello,Standard Prompts
transfiguration spell,Standard Prompts
i'm the bodyslam grandma,Standard Prompts
happy school picture day,Standard Prompts
what happened to our child,Standard Prompts
i nearly drownd,Standard Prompts
"very cool dance, you rowdy boys",Standard Prompts
hark! i hear the song of mosquito,Standard Prompts
so many neighbors,Standard Prompts
three sad fellas,Standard Prompts
"cheeto finger nails, snapping",Standard Prompts
a shoe a shoe and a big shoe,Standard Prompts
a mountain that is a bike,Standard Prompts
incandescent rage,Standard Prompts
The Boss?,Standard Prompts
total meltdown,Standard Prompts
2good2b4gotten,Standard Prompts
baker : ) bonker :(,Standard Prompts
!cake!!!?!?!?!?,Standard Prompts
a meme for friends,Standard Prompts
my phone's not working,Standard Prompts
honey i'm sad,Standard Prompts
too tight pair of cowboy boots,Standard Prompts
we all like spidermans tattoo,Standard Prompts
i will win the crying contest,Standard Prompts
bone coworkers,Standard Prompts
Jackbox Games (C) 2021,Standard Prompts
chicken poodle soup,Standard Prompts
presidential tee hee,Standard Prompts
